,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Lagavulin 16 Year Old,https://www.masterofmalt.com/whiskies/lagavulin/lagavulin-16-year-old-whisky/,," More like Lapsang Souchong tea than Lapsang Souchong! One of the smokiest noses from Islay. It's big, very, very concentrated, and redolent of iodine, sweet spices, good, mature Sherry and creamy vanilla. Stunning."," Very thick and rich. A massive mouthful of malt and Sherry with good fruity sweetness, but also a wonderful sweetness. Big, powerful peat and oak."," Long, spicy finish, figs, dates, peat smoke, vanilla.",Scotch Whisky,Islay Whisky,Lagavulin,Lagavulin,16 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glenfarclas 15 Year Old,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-15-year-old-whisky/,," Intense, powerful sherry. Cream sherry, certainly – Pedro Ximenez? almost… a touch of peppermint? An almost rancio quality to this. Smells older than 15."," Raisins, more sherry, orange peel, walnuts, dates."," Incredibly long, complex, more of the Walnuts again.",Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,15 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Glenmorangie 18 Year Old Extremely Rare,https://www.masterofmalt.com/whiskies/glenmorangie-18-year-old-extremely-rare-whisky/,," Creamy honey and Greek yoghurt, grapefruit, exotic spice, berry compote."," Tinned citrus, lychee, very creamy, honey."," Very good, big oak, citrus peels.",Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Ardbeg Uigeadail,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-uigeadail-whisky/,," Multifaceted, notes of peat and little flourishes of dark sugar, freshly ground espresso beans, cereal notes and a most sophisticated tar."," Led by sweet, ripe fruit and black forest honey. A good helping of malt. The throne then usurped by a powerful peat and smoked barley."," Very long, caramel and malt weave their way through peat smoke and dark sugar and just a hint of fresh espresso coffee before it finally peters out.",Scotch Whisky,Islay Whisky,Ardbeg,Ardbeg,,,Single Malt Whisky,,54.2%,70cl
Highland Park 12 Year Old - Viking Honour,https://www.masterofmalt.com/whiskies/highland-park/highland-park-12-year-old-viking-honour-whisky/,," Fresh, clean and very aromatic. Floral notes abound the senses with a light grassiness. Notes of creamy Manuka honey and a touch of juicy citrus with cream and a well-balanced sweetness.", Rather full with a pleasant depth. Lurking somewhere in the substratum a grilled orange lies. Notes of granary toast and green tea with jasmine. A touch of sweetness., Quite long with peppery spice and wood shavings.,Scotch Whisky,Island Whisky,Highland Park,Highland Park,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Balvenie 14 Year Old Caribbean Cask,https://www.masterofmalt.com/whiskies/balvenie/balvenie-14-year-old-caribbean-cask-whisky/,," The aroma is rich with notes of tropical fruits, namely passion fruit, and creamy toffee.", Sweet vanilla forms a creamy palate with notes of apples and mangoes with a hint of orange in the background., The finish lingers with a vanilla focussed character.,Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,14 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glenmorangie Signet,https://www.masterofmalt.com/whiskies/glenmorangie-signet-whisky/,," The nose begins with chocolate raisins and sugared mixed peels. Toasted spices, bread and butter pudding and golden syrup complement these aromas, while a note of Angostura bitters lingers beneath."," Sweet, syrupy cinnamon and drying malt lead, before a suggestion of Terry's Chocolate Orange rises. A hint of lime rind is present, as are lychees and dates. The backdrop is filled with tobacco leaves and freshly roasted espresso beans, with a little honey-roasted cashew."," The finish dries and becomes pleasantly rubbery, as a touch of truffle oil emerges.",Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,,,Single Malt Whisky,,46.0%,70cl
Ardbeg 10 Year Old - Warehouse Pack,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-10-year-old-warehouse-pack-whisky/,, A ridge of vanilla leads to mountain of peat capped with citrus fruits and circled by clouds of sea spray., Sweet vanilla counterbalanced with lemon and lime followed by that surging Ardbeg smoke that we all know and love., Long and glorious; sea salted caramel and beach bonfire smoke.,Scotch Whisky,Islay Whisky,Ardbeg,Ardbeg,10 year old Whisky,,Single Malt Whisky,,46.0%,70cl
The Macallan Rare Cask - Batch No.1 (2019 Release),https://www.masterofmalt.com/whiskies/the-macallan/macallan-rare-cask-whisky/,," Soft notes of opulent vanilla and raisin pique the nose, giving way to a sweet ensemble of apple, lemon and orange."," Oak resonates, timeless, polished and rich. Vanilla and chocolate lead the finale along with a light citrus zest.", Full and warming.,Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,,,Single Malt Whisky,,43.0%,70cl
Glenmorangie Nectar d'Or - 12 Year Old,https://www.masterofmalt.com/whiskies/glenmorangie-nectar-dor-12-year-old-whisky/,," The nose is full of dessert wines, a little fruitiness with a good barley sweetness. A mix of honey and apricot skins."," Quite full with more dessert wine notes, with cereal notes and barley. A touch of malty spice and berry fruits with good oak-y tannins develops.", Long with a good helping of oak. More apricot skins and dessert wines linger.,Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,12 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Ardbeg Corryvreckan,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-corryvreckan-whisky/,," Sticking plasters, buttery, creamy, roast chicken crisps, herbal, almost a hint of pine…"," Cream, spices, tingling, fresh fruit, medicinal, plasters, Clementines. Orange peels."," Salty, more medicinal, smoked meats, peat is fleeting, tarmac, chilli, salt.",Scotch Whisky,Islay Whisky,Ardbeg,Ardbeg,,,Single Malt Whisky,,57.1%,70cl
Talisker 10 Year Old,https://www.masterofmalt.com/whiskies/talisker/talisker-10-year-old-whisky/,," A fresh and fragrant nose. Through thick, pungent smoke comes sweet pear and apple peels, with pinches of maritime salt from kippers, seaweed."," It's a bonfire of peat crackling with black pepper, with a touch of brine and dry barley. A welcome delivery of orchard fruit provides a delicate and beautiful balance."," In a long finish, bonfire embers toast malt and crystallise a sugary underlay.",Scotch Whisky,Island Whisky,Talisker,Talisker,10 year old Whisky,,Single Malt Whisky,,45.8%,70cl
Mortlach 12 Year Old,https://www.masterofmalt.com/whiskies/mortlach/mortlach-12-year-old-whisky/,," Damson, toasted almond, cinder toffee and heavy barley."," Warming oak and soft raisins, with a bit of olive oil salinity mixed in."," A bit jammy, a bit nutty, some lingering citrus oils cutting through.",Scotch Whisky,Speyside Whisky,Mortlach,Mortlach,12 year old Whisky,,Single Malt Whisky,,43.4%,70cl
Springbank 10 Year Old,https://www.masterofmalt.com/whiskies/springbank/springbank-10-year-old-whisky/,," The nose offers up plenty of oak, exotic spices, guava, heather honey and soft smoke."," A full, sweet, creamy palate with hints of smoke, marzipan and cigar boxes."," A smoky finish, trailing off on sweet cider and toasty barley.",Scotch Whisky,Campbeltown Whisky,Springbank,Springbank,10 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Aberlour Casg Annamh Batch 1,https://www.masterofmalt.com/whiskies/aberlour/aberlour-casg-annamh-whisky/,," Milky coffee, flame raisins and plenty of honeyed malt."," Golden Grahams, nectarines, cinnamon and strawberry jam."," Cooking spices, sugary biscuits and red apples.",Scotch Whisky,Speyside Whisky,Aberlour,Aberlour,,,Single Malt Whisky,,48.0%,70cl
Balvenie 12 Year Old - The Sweet Toast of American Oak,https://www.masterofmalt.com/whiskies/balvenie/balvenie-12-year-old-the-sweet-toast-of-american-oak-whisky/,," Lusciously malty with some sweet fudge, followed by citrusy and oak vanilla aromas with layers of spicy oak notes of ginger and cinnamon."," Candied orange and lemon peel, vanilla toffee and butterscotch, layers of blossom honey, some melted brown sugar and oak spices at the end.", Rich and malty with gentle waves of oak vanilla and subtle spices.,Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
The GlenDronach 15 Year Old Revival,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-15-year-old-revival-whisky/,," Coffee beans, sponge cake drenched in sherry, mint leaf, slightly buttery, sultana."," Oily walnut, new leather, blackberry and apple crumble, toasted brown sugar and a touch of liquorice root."," Fresh ginger, waxy orange, caramelised dried fruit and a hint of cigar box.",Scotch Whisky,Highland Whisky,GlenDronach,GlenDronach,15 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Balvenie 21 Year Old PortWood Finish,https://www.masterofmalt.com/whiskies/balvenie/balvenie-21-year-old-port-wood-finish-whisky/,, Elegant. White peach and a faint puff of smoke.," Surprisingly delicate. Abounding, yet fine. Her sublime mouthfeel carries, masterfully: red fruit, raisins, an edge of white grape and a very floral honey."," Cocoa, slightly bitter as it tails away gracefully.",Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,21 year old Whisky,,Single Malt Whisky,,40.0%,70cl
The Macallan 12 Year Old Double Cask,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-12-year-old-double-cask-whisky/,," Classic dried fruit territory, if less intense than the Sherry Oak expression. Aromatic butterscotch too."," Creamy and honeyed with some thick-cut marmalade, cinnamon and warm pastries.", Fruity with vanilla and sultana.,Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Mortlach 16 Year Old,https://www.masterofmalt.com/whiskies/mortlach/mortlach-16-year-old-whisky/,," Gingersnaps and orange peel, with hints of roast chestnut, apple and blackcurrant pie and quince."," Mature oak from the outset, joined by prune, clove, macadamia nut and a slight touch of baked earth.", Lingering oily walnut and chewy raisin notes. More ginger appears later on.,Scotch Whisky,Speyside Whisky,Mortlach,Mortlach,16 year old Whisky,,Single Malt Whisky,,43.4%,70cl
Glengoyne 21 Year Old,https://www.masterofmalt.com/whiskies/glengoyne-21-year-old-whisky/,," Punchy oak, potpourri, cranberries, raspberries, a little malt and figs on the nose."," Richly sherried. Everything is tangy and spiced - molasses, hot apple cider, Christmas pudding with flaming brandy and a touch of cracked black peppercorns.", Ends with Oloroso and sweet malt.,Scotch Whisky,Highland Whisky,Glengoyne,Glengoyne,21 year old Whisky,,Single Malt Whisky,,43.0%,70cl
The GlenDronach 21 Year Old - Parliament,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-21-year-old-parliament-whisky/,," Soft smoke and lemon juice, cedar wood, apple peel, toasty oak, soft earth, date and walnut cake and a hint of freshly made espresso."," Golden syrup, soft, juicy raisins, tangy oak notes, peach, cherry blossom, cocoa and honeydew melon."," Sherry tones lead the finish, with a hint of sulphur, chocolate, luscious fruit and pepper.",Scotch Whisky,Highland Whisky,GlenDronach,GlenDronach,21 year old Whisky,,Single Malt Whisky,,48.0%,70cl
Glenfiddich Experimental Series - Project XX,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-experimental-series-project-xx-whisky/,," This smells like a bit of a beastie, lots of woody spicy notes, toffee and orange peel. Clearly some serious cask action going on here."," Lots of wood: cloves, cinnamon and vanilla with tingly wood tannins, all wrapped up with some sweet fudge notes."," Long and layered, with lingering notes of espresso and dark chocolate.",Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,,,Single Malt Whisky,,47.0%,70cl
Talisker 18 Year Old,https://www.masterofmalt.com/whiskies/talisker/talisker-18-year-old-whisky/,, The nose is quite clean and fresh. There is a mixed fruity sweetness with a spicy character. The peat and smoke rise with notes of perfume and thick oak. Hints of Calvados and a touch of acidity with ground ginger.," The palate is thick and rich and full-bodied. Notes of spicy, peppery oak, espresso beans and wood smoke. A little allspice creeps in, there is a certain zesty character lurking somewhere. The spice builds and builds with utter intent.", The finish is long and with peppery oak.,Scotch Whisky,Island Whisky,Talisker,Talisker,18 year old Whisky,,Single Malt Whisky,,45.8%,70cl
The Macallan 12 Year Old Triple Cask,https://www.masterofmalt.com/whiskies/macallan/the-macallan-12-year-old-triple-cask-whisky/,," Gingerbread, vanilla essence, wafts of buttered toast and clotted-cream-topped scones."," Raisins, sultanas and stem ginger. Citrus begins to develop on the palate, with a touch of dark chocolate.", Subtle cedar and honey linger on the palate.,Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Ardbeg An Oa,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-an-oa-whisky/,," This sweet, creamy Ardbeg offers notes of butterscotch, fennel seed, tobacco leaf, Honey Nut Clusters and hints of mixed boiled sweets (fruit, Everton mint and menthol). The citrus notes are subtle and rich, coming through as flourless orange cake."," Still plenty of peaty oomph, although perhaps lighter in body. Notes of cigars and golden syrup flapjacks with sweet black tea on the tail and hints of chocolate limes.", Smoky treacle lingers with a little peanut brittle.,Scotch Whisky,Islay Whisky,Ardbeg,Ardbeg,,,Single Malt Whisky,,46.6%,70cl
Dalmore 15 Year Old,https://www.masterofmalt.com/whiskies/dalmore-15-year-old-whisky/,," A chocolate orange. Potpourri, perfumed. Fruitcake, Sherry."," Medium, lovely delivery. Zesty orange, Curaçao, chocolate. Winter spice, stem ginger in syrup. Hints of anise and a little hickory.", Malty barley and smoky espresso.,Scotch Whisky,Highland Whisky,Dalmore,Dalmore,15 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Balvenie 14 Year Old - The Week of Peat,https://www.masterofmalt.com/whiskies/balvenie/balvenie-14-year-old-the-week-of-peat-whisky/,," Gentle sweet peat smoke, lighter floral notes and delicate butterscotch honey."," Velvety and round to taste with the peat smoke balancing citrus flavours, oaky vanilla and blossom honey.", Gentle smoke with a lingering and creamy vanilla sweetness.,Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,14 year old Whisky,,Single Malt Whisky,,48.3%,70cl
Oban 14 Year Old,https://www.masterofmalt.com/whiskies/oban-14-year-old-whisky/,"The nose is rich and smokey. The medicinal notes are quite evident with notes of the sea; seaweed, tarry ropes. There are notes of cut hay and wood smoke rising with a gentle estery sweetness. The palate is thick and full. Notes of citrus with smooth sweetness. The smoke wafts with notes of seaweed. The oak is quite rich with grist and cereal and malt. The finish is of good length with fruit and dry oak.",,,,Scotch Whisky,Highland Whisky,Oban,Oban,14 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Kilchoman Machir Bay,https://www.masterofmalt.com/whiskies/kilchoman/kilchoman-machir-bay-whisky/,," Citrus zests, crumbly vanilla biscuits and layers of elegant peat smoke.", A generous burst of tropical fruit and dried raisin opens the palate. Warming smoke continues to waft playfully., Sherried fruits and sprinkle of cracked black pepper.,Scotch Whisky,Islay Whisky,Kilchoman,Kilchoman,,,Single Malt Whisky,,46.0%,70cl
Glenfarclas 25 Year Old,https://www.masterofmalt.com/whiskies/glenfarclas-25-year-old-whisky/,," A touch of menthol. Classic Sherry notes, less pronounced than the 15 year old perhaps, but the complexity is greater."," Incredibly clean central palate, but amazingly tangy. Really zingy top notes. Sherry and creamy barley, hints of gingerbread and nutty chocolate."," Very, very long and complex finish, oak-rich, hints of smoke, cocoa, buttery...",Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,25 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Kilkerran 12 Year Old,https://www.masterofmalt.com/whiskies/glengyle/kilkerran-12-year-old-whisky/,," Oak notes are dominant, followed by toasted marshmallows and dried fruit pudding, as well as cherries, marzipan and a hint of peat."," Initially fruity with citrus notes and orange peel, after this: vanilla, butterscotch, honeycomb and digestive biscuits can all be tasted and enjoyed."," Velvet and smooth with lemon meringue, to conclude, there’s an oiliness and a saltiness that you’d expect from a Campbeltown dram.",Scotch Whisky,Campbeltown Whisky,Kilkerran,Kilkerran,12 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Dalwhinnie 15 Year Old,https://www.masterofmalt.com/whiskies/dalwhinnie-15-year-old-whisky/,," Aromatic, toffee, fruit salad, lush nectarine, custard. Floral, apple blossom, honeysuckle. Apple peels, pear, touch of smoke.", Malty. Walnuts steeped in manuka honey with vanilla sponge. Gentle smoke weaves its way through the cereal with a touch of spice.," Long, malty, walnut, almond.",Scotch Whisky,Highland Whisky,Dalwhinnie,Dalwhinnie,15 year old Whisky,,Single Malt Whisky,,43.0%,70cl
The Macallan 12 Year Old Sherry Oak,https://www.masterofmalt.com/whiskies/the-macallan-12-year-old-sherry-oak-whisky/,, Crisp and sweet. There are notes of sultanas and fresh apple blossom. There is a defined floral note followed by Sherry hints. Calvados emerges with a tropical fruit note and golden syrup.," Medium-body and quite firm. There are notes of hot pastries and marmalade, sultanas and peels with a developing sweetness from the barley sugar.", Good length with a solid oaked note.,Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Laphroaig 10 Year Old,https://www.masterofmalt.com/whiskies/laphroaig-10-year-old-whisky/,," This opens on big, smoky muscular peat notes. There are spices, and liquorice, as well as a big dose of salt. This whisky has become slightly sweeter in recent years, and it appears beautifully on the nose, amidst the classic iodine/sticking plasters and cool wood smoke we love."," Seaweed-led, with a hint of vanilla ice cream and more than a whiff of notes from the first aid box (TCP, plasters etc). The oak is big, and muscles its way into the fore as you hold this whisky over your tongue. An upsurge of spices develop – cardamom/black pepper/chilli."," Big and drying, as the savoury, tarry notes build up with an iodine complexity.",Scotch Whisky,Islay Whisky,Laphroaig,Laphroaig,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Balvenie DoubleWood 12 Year Old,https://www.masterofmalt.com/whiskies/balvenie/balvenie-doublewood-12-year-old-whisky/,," Gristy, supple nuttiness intertwined with spices. Honeyed sultanas and grapes. Hugely inviting."," Sweet with good body. The bourbon characters develop; gentle spice with a little vanilla, a hint of balancing peat lurking quietly in the substrata. Dried fruit too, combining with nuts, nutmeg, cinnamon, back into the bourbon notes - so well integrated."," Spicy, slightly drying, still sweet.",Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
The Macallan 18 Year Old Triple Cask,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-18-year-old-triple-cask-whisky/,," Roasted chestnut, thick caramel, slightly floral at points, orange oil."," Fresh vanilla, dark chocolate, toasted coconut, ginger, mature oak."," Cassia, nutmeg, almond and toffee.",Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glenfiddich Experimental Series - Fire & Cane,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-experimental-series-fire-and-cane-whisky/,," Billowing soft peat notes, like distant smoke on the wind. Rich sweet toffee with zesty fresh fruit notes and spiciness."," Like a Highland peat campfire, with oak notes and toffee. Sharp green fruit, sweet baked apple and soft smoke.", Lingering smokiness and sweetness.,Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,,,Single Malt Whisky,,43.0%,70cl
Dalmore 12 Year Old,https://www.masterofmalt.com/whiskies/dalmore/dalmore-12-year-old-whisky/,," A warm coffee house in Seattle; roasting beans, the oily nuttiness in a fine espresso, there are little notes of malt and cereal and butter from the pastry counter with rich orange from the fruit bowl on the counter.", Notes of Seville marmalade and triple sec with winter spices and fruitcake. Zesty cocoa and milk chocolate.," Medium, oranges.",Scotch Whisky,Highland Whisky,Dalmore,Dalmore,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
The GlenDronach 12 Year Old,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-12-year-old-whisky/,," Rich cereals, struck match, raisin, cinnamon, caramelised sugar. Opens with some sweeter PX and lots of delicious raw ginger before becoming creamier with hazelnuts."," Fruits, peels, buttery. Pain au chocolat, a little marmalade on toast before becoming firmer and nuttier with spiced raisins.", Smoky toffee and nut brittle.,Scotch Whisky,Highland Whisky,GlenDronach,GlenDronach,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glengoyne The Legacy Series Chapter One,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-the-legacy-series-whisky/,," Think luxurious sticky toffee pudding, packed to the brim with dried fruit and Christmas spices, and drowned in vanilla custard."," A thick mouthfeel, where prominent sherry notes take over gentle oak with more of those dried fruits and sweet vanilla pod, with a hint of stewed pear and cinnamon spice."," A lengthy finish, dried fruits and sherried notes remain.",Scotch Whisky,Highland Whisky,Glengoyne,Glengoyne,,,Single Malt Whisky,,48.0%,70cl
Port Charlotte 10 Year Old,https://www.masterofmalt.com/whiskies/bruichladdich/port-charlotte-10-year-old-whisky/,," Salted caramel brownie, flamed orange peel, a hearty whack of seaweed."," Oak-y smoke and salty sea air, paired with sweeter notes of Custard Cream biscuits and white grape."," Ginger snaps, rye toast, drying peat smokiness.",Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,10 year old Whisky,,Single Malt Whisky,,50.0%,70cl
Tamdhu 10 Year Old,https://www.masterofmalt.com/whiskies/tamdhu/tamdhu-10-year-old-whisky/,," Dried orange peel, red wine, pecan and raspberry jam.", Soft red fruit followed by brown sugar and spicy clove. A touch of chocolate-covered Brazil nut.," Crystallised ginger, cacao and juicy blackcurrant.",Scotch Whisky,Speyside Whisky,Tamdhu,Tamdhu,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
