name,url,Region,price,Distillery / Brand,Alcohol,Volume,Nose,Palate,Finish,Nose_clean,Palate_clean,Finish_clean,Nose_tokens,Palate_tokens,Finish_tokens,price_usd,reg_0,reg_1,reg_2,reg_3,reg_4,reg_5,reg_6,reg_7,user_pref,score,Nose_common,Palate_common,Finish_common,vendor_rec
Lagavulin 16 Year Old,https://www.masterofmalt.com/whiskies/lagavulin/lagavulin-16-year-old-whisky/,Islay Whisky,48.95,Lagavulin,43.0%,70cl," More like Lapsang Souchong tea than Lapsang Souchong! One of the smokiest noses from Islay. It's big, very, very concentrated, and redolent of iodine, sweet spices, good, mature Sherry and creamy vanilla. Stunning."," Very thick and rich. A massive mouthful of malt and Sherry with good fruity sweetness, but also a wonderful sweetness. Big, powerful peat and oak."," Long, spicy finish, figs, dates, peat smoke, vanilla.",lapsang souchong tea lapsang souchong smoke islay big concentrated redolent iodine sweet spices good mature sherry creamy vanilla stunning,thick rich massive mouthful malt sherry good fruit sweet also wonderful sweet big powerful peat oak,long spicy figs dates peat smoke vanilla,"['lapsang', 'souchong', 'tea', 'lapsang', 'souchong', 'smoke', 'islay', 'big', 'concentrated', 'redolent', 'iodine', 'sweet', 'spices', 'good', 'mature', 'sherry', 'creamy', 'vanilla', 'stunning']","['thick', 'rich', 'massive', 'mouthful', 'malt', 'sherry', 'good', 'fruit', 'sweet', 'also', 'wonderful', 'sweet', 'big', 'powerful', 'peat', 'oak']","['long', 'spicy', 'figs', 'dates', 'peat', 'smoke', 'vanilla']",61.19,1,0,0,0,0,0,0,0,1.0,1.0000000000000002,"mature, sweet, smoke, sherry, souchong, creamy, lapsang, big, spices, vanilla, islay, tea, stunning, redolent, good, concentrated, iodine","sweet, good, sherry, big","smoke, vanilla","Talisker 10 Year Old,Triple Wood,Laphroaig Quarter Cask,Ardbeg 10 Year Old,Oban 14,Ardbeg Corryvreckan,Ardbeg Uigeadail,Caol Ila 12,Laphroaig 10"
Glenfarclas 15 Year Old,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-15-year-old-whisky/,Speyside Whisky,52.9,Glenfarclas,46.0%,70cl," Intense, powerful sherry. Cream sherry, certainly – Pedro Ximenez? almost… a touch of peppermint? An almost rancio quality to this. Smells older than 15."," Raisins, more sherry, orange peel, walnuts, dates."," Incredibly long, complex, more of the Walnuts again.",intense powerful sherry cream sherry certainly – pedro ximenez almost… peppermint almost rancio quality smells old 15,raisins sherry orange peel walnuts dates,incredibly long complex walnuts,"['intense', 'powerful', 'sherry', 'cream', 'sherry', 'certainly', 'pedro', 'ximenez', 'almost', 'peppermint', 'almost', 'rancio', 'quality', 'smells', 'old']","['raisins', 'sherry', 'orange', 'peel', 'walnuts', 'dates']","['incredibly', 'long', 'complex', 'walnuts']",66.12,0,1,0,0,0,0,0,0,0.0,0.09019991216083144,sherry,sherry,,"GlenDronach Allardice,Glenfarclas 10,Glenfarclas 21,Glenfarclas 105,Ardbeg Uigeadail,Springbank 15,Dalmore 15,Lagavulin 16 Year Old,Balvenie Caribbean Cask"
Glenmorangie 18 Year Old Extremely Rare,https://www.masterofmalt.com/whiskies/glenmorangie-18-year-old-extremely-rare-whisky/,Highland Whisky,72.9,Glenmorangie,43.0%,70cl," Creamy honey and Greek yoghurt, grapefruit, exotic spice, berry compote."," Tinned citrus, lychee, very creamy, honey."," Very good, big oak, citrus peels.",creamy honey greek yoghurt grapefruit exotic spice berry compote,tinned citrus lychee creamy honey,good big oak citrus peels,"['creamy', 'honey', 'greek', 'yoghurt', 'grapefruit', 'exotic', 'spice', 'berry', 'compote']","['tinned', 'citrus', 'lychee', 'creamy', 'honey']","['good', 'big', 'oak', 'citrus', 'peels']",91.12,0,0,1,0,0,0,0,0,0.0,0.027019010339808257,creamy,creamy,"good, big","GlenDronach 21 Parliament,Balvenie 21 Year Old,Glenmorangie Quinta 12yo,Dalmore 18,Glenmorangie Nectar d'Or,Glenfiddich 21yo Reserva,Glengoyne 21,Glenmorangie Signet,Balvenie 17yo DoubleWood"
Ardbeg Uigeadail,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-uigeadail-whisky/,Islay Whisky,51.9,Ardbeg,54.2%,70cl," Multifaceted, notes of peat and little flourishes of dark sugar, freshly ground espresso beans, cereal notes and a most sophisticated tar."," Led by sweet, ripe fruit and black forest honey. A good helping of malt. The throne then usurped by a powerful peat and smoked barley."," Very long, caramel and malt weave their way through peat smoke and dark sugar and just a hint of fresh espresso coffee before it finally peters out.",multifaceted peat flourish dark sugar freshly ground espresso beans cereal sophisticated tar,led sweet ripe fruit black for honey good helping malt throne usurped powerful peat smoked barley,long caramel malt weave way peat smoke dark sugar fresh espresso coffee finally peter,"['multifaceted', 'peat', 'flourish', 'dark', 'sugar', 'freshly', 'ground', 'espresso', 'beans', 'cereal', 'sophisticated', 'tar']","['led', 'sweet', 'ripe', 'fruit', 'black', 'for', 'honey', 'good', 'helping', 'malt', 'throne', 'usurped', 'powerful', 'peat', 'smoked', 'barley']","['long', 'caramel', 'malt', 'weave', 'way', 'peat', 'smoke', 'dark', 'sugar', 'fresh', 'espresso', 'coffee', 'finally', 'peter']",64.88,1,0,0,0,0,0,0,0,0.0,0.31761780143326684,,"sweet, good",smoke,"Triple Wood,Laphroaig Quarter Cask,Ileach Cask Strength,Ardbeg 10 Year Old,Ardbeg Corryvreckan,Lagavulin 16 Year Old,Caol Ila 12,Bunnahabhain 12,Glenfarclas 15 Year Old"
Highland Park 12 Year Old - Viking Honour,https://www.masterofmalt.com/whiskies/highland-park/highland-park-12-year-old-viking-honour-whisky/,Island Whisky,27.95,Highland Park,40.0%,70cl," Fresh, clean and very aromatic. Floral notes abound the senses with a light grassiness. Notes of creamy Manuka honey and a touch of juicy citrus with cream and a well-balanced sweetness.", Rather full with a pleasant depth. Lurking somewhere in the substratum a grilled orange lies. Notes of granary toast and green tea with jasmine. A touch of sweetness., Quite long with peppery spice and wood shavings.,fresh clean aromatic floral abound sens light grassi creamy manuka honey juicy citrus cream wellbalanced sweetness,rather full pleasant depth lurking somewhere substratum grilled orange lies granary toast green tea jasmine sweetness,long peppery spice wood shavings,"['fresh', 'clean', 'aromatic', 'floral', 'abound', 'sens', 'light', 'grassi', 'creamy', 'manuka', 'honey', 'juicy', 'citrus', 'cream', 'wellbalanced', 'sweetness']","['rather', 'full', 'pleasant', 'depth', 'lurking', 'somewhere', 'substratum', 'grilled', 'orange', 'lies', 'granary', 'toast', 'green', 'tea', 'jasmine', 'sweetness']","['long', 'peppery', 'spice', 'wood', 'shavings']",34.94,0,0,0,1,0,0,0,0,0.0,0.04128925706517898,creamy,tea,,"Bunnahabhain Stiùireadair,Talisker 10 Year Old,Highland Park 18yo,Balvenie DoubleWood 12yo,Hibiki Japanese Harmony,Dalmore 12 Year Old,Lagavulin 16 Year Old,Macallan 12 Double Cask,Yamazaki Reserve"
Balvenie 14 Year Old Caribbean Cask,https://www.masterofmalt.com/whiskies/balvenie/balvenie-14-year-old-caribbean-cask-whisky/,Speyside Whisky,49.9,Balvenie,43.0%,70cl," The aroma is rich with notes of tropical fruits, namely passion fruit, and creamy toffee.", Sweet vanilla forms a creamy palate with notes of apples and mangoes with a hint of orange in the background., The finish lingers with a vanilla focussed character.,aroma rich tropical fruits namely passion fruit creamy toffee,sweet vanilla form creamy apple mango orange background,linger vanilla focussed character,"['aroma', 'rich', 'tropical', 'fruits', 'namely', 'passion', 'fruit', 'creamy', 'toffee']","['sweet', 'vanilla', 'form', 'creamy', 'apple', 'mango', 'orange', 'background']","['linger', 'vanilla', 'focussed', 'character']",62.38,0,1,0,0,0,0,0,0,0.0,0.10403437603641287,creamy,"sweet, vanilla, creamy",vanilla,"Auchentoshan Three Wood,GlenDronach Allardice,Balvenie DoubleWood 12yo,Balvenie 21 Year Old,Glenmorangie Quinta 12yo,Dalmore 15,Lagavulin 16 Year Old,Balvenie 17yo DoubleWood,Glenfarclas 15 Year Old"
Glenmorangie Signet,https://www.masterofmalt.com/whiskies/glenmorangie-signet-whisky/,Highland Whisky,126.95,Glenmorangie,46.0%,70cl," The nose begins with chocolate raisins and sugared mixed peels. Toasted spices, bread and butter pudding and golden syrup complement these aromas, while a note of Angostura bitters lingers beneath."," Sweet, syrupy cinnamon and drying malt lead, before a suggestion of Terry's Chocolate Orange rises. A hint of lime rind is present, as are lychees and dates. The backdrop is filled with tobacco leaves and freshly roasted espresso beans, with a little honey-roasted cashew."," The finish dries and becomes pleasantly rubbery, as a touch of truffle oil emerges.",chocolate raisin sugared mixed peels toasted spices bread butter pudding golden syrup complement aromas angostura bitter linger,sweet syrupy cinnamon drying malt lead suggestion terrys chocolate orange rises lime rind present lychee dates backdrop filled tobacco leaf freshly roasted espresso beans honeyroasted cashew,dry becomes pleasantly rubbery truffle oil emerges,"['chocolate', 'raisin', 'sugared', 'mixed', 'peels', 'toasted', 'spices', 'bread', 'butter', 'pudding', 'golden', 'syrup', 'complement', 'aromas', 'angostura', 'bitter', 'linger']","['sweet', 'syrupy', 'cinnamon', 'drying', 'malt', 'lead', 'suggestion', 'terrys', 'chocolate', 'orange', 'rises', 'lime', 'rind', 'present', 'lychee', 'dates', 'backdrop', 'filled', 'tobacco', 'leaf', 'freshly', 'roasted', 'espresso', 'beans', 'honeyroasted', 'cashew']","['dry', 'becomes', 'pleasantly', 'rubbery', 'truffle', 'oil', 'emerges']",158.69,0,0,1,0,0,0,0,0,0.0,0.07241005155222728,spices,sweet,,"Dalmore King Alexander III,Balvenie 21 Year Old,Glenmorangie Quinta 12yo,Dalmore 18,Glenmorangie Nectar d'Or,Glenfiddich 21yo Reserva,Glengoyne 21,Glenmorangie 18,Balvenie 17yo DoubleWood"
The Macallan Rare Cask - Batch No.1 (2019 Release),https://www.masterofmalt.com/whiskies/the-macallan/macallan-rare-cask-whisky/,Speyside Whisky,220.0,The Macallan,43.0%,70cl," Soft notes of opulent vanilla and raisin pique the nose, giving way to a sweet ensemble of apple, lemon and orange."," Oak resonates, timeless, polished and rich. Vanilla and chocolate lead the finale along with a light citrus zest.", Full and warming.,soft opulent vanilla raisin pique giving way sweet ensemble apple lemon orange,oak resonates timeless polished rich vanilla chocolate lead finale along light citrus zest,full warming,"['soft', 'opulent', 'vanilla', 'raisin', 'pique', 'giving', 'way', 'sweet', 'ensemble', 'apple', 'lemon', 'orange']","['oak', 'resonates', 'timeless', 'polished', 'rich', 'vanilla', 'chocolate', 'lead', 'finale', 'along', 'light', 'citrus', 'zest']","['full', 'warming']",275.0,0,1,0,0,0,0,0,0,0.0,0.0941812163920376,"sweet, vanilla",vanilla,,The Macallan Enigma
Glenmorangie Nectar d'Or - 12 Year Old,https://www.masterofmalt.com/whiskies/glenmorangie-nectar-dor-12-year-old-whisky/,Highland Whisky,50.9,Glenmorangie,46.0%,70cl," The nose is full of dessert wines, a little fruitiness with a good barley sweetness. A mix of honey and apricot skins."," Quite full with more dessert wine notes, with cereal notes and barley. A touch of malty spice and berry fruits with good oak-y tannins develops.", Long with a good helping of oak. More apricot skins and dessert wines linger.,full dessert wines fruiti good barley sweet mix honey apricot skins,full dessert wine cereal barley malty spice berry fruit good oaky tannin develops,long good helping oak apricot skin dessert wine linger,"['full', 'dessert', 'wines', 'fruiti', 'good', 'barley', 'sweet', 'mix', 'honey', 'apricot', 'skins']","['full', 'dessert', 'wine', 'cereal', 'barley', 'malty', 'spice', 'berry', 'fruit', 'good', 'oaky', 'tannin', 'develops']","['long', 'good', 'helping', 'oak', 'apricot', 'skin', 'dessert', 'wine', 'linger']",63.62,0,0,1,0,0,0,0,0,0.0,0.1083553358389818,"sweet, good",good,good,"Glemorangie Lasanta,Glenmorangie Quinta 12yo,Dalwhinnie 15,Glenmorangie Signet,Glenmorangie 18,Dalmore 15,Glenmorangie 10 Year Old,Glenfarclas 15 Year Old,Balvenie Caribbean Cask"
Ardbeg Corryvreckan,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-corryvreckan-whisky/,Islay Whisky,62.9,Ardbeg,57.1%,70cl," Sticking plasters, buttery, creamy, roast chicken crisps, herbal, almost a hint of pine…"," Cream, spices, tingling, fresh fruit, medicinal, plasters, Clementines. Orange peels."," Salty, more medicinal, smoked meats, peat is fleeting, tarmac, chilli, salt.",sticking plasters buttery creamy roast chicken crisps herbal almost pine…,cream spices tingling fresh fruit medicinal plasters clementines orange peels,salty medicinal smoked meats peat fleeting tarmac chilli salt,"['sticking', 'plasters', 'buttery', 'creamy', 'roast', 'chicken', 'crisps', 'herbal', 'almost', 'pine']","['cream', 'spices', 'tingling', 'fresh', 'fruit', 'medicinal', 'plasters', 'clementines', 'orange', 'peels']","['salty', 'medicinal', 'smoked', 'meats', 'peat', 'fleeting', 'tarmac', 'chilli', 'salt']",78.62,1,0,0,0,0,0,0,0,0.0,0.2115252908167175,creamy,spices,,"Triple Wood,Laphroaig Quarter Cask,Ileach Cask Strength,Springbank 18 Year Old,Ardbeg 10 Year Old,Talisker 18 Year Old,Caol Ila 18,Ardbeg Uigeadail,Lagavulin 16 Year Old"
