,0
0,https://www.masterofmalt.com/whiskies/lagavulin/lagavulin-16-year-old-whisky/
1,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-15-year-old-whisky/
2,https://www.masterofmalt.com/whiskies/glenmorangie-18-year-old-extremely-rare-whisky/
3,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-uigeadail-whisky/
4,https://www.masterofmalt.com/whiskies/highland-park/highland-park-12-year-old-viking-honour-whisky/
5,https://www.masterofmalt.com/whiskies/balvenie/balvenie-14-year-old-caribbean-cask-whisky/
6,https://www.masterofmalt.com/whiskies/glenmorangie-signet-whisky/
7,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-10-year-old-warehouse-pack-whisky/
8,https://www.masterofmalt.com/whiskies/the-macallan/macallan-rare-cask-whisky/
9,https://www.masterofmalt.com/whiskies/glenmorangie-nectar-dor-12-year-old-whisky/
10,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-corryvreckan-whisky/
11,https://www.masterofmalt.com/whiskies/talisker/talisker-10-year-old-whisky/
12,https://www.masterofmalt.com/whiskies/mortlach/mortlach-12-year-old-whisky/
13,https://www.masterofmalt.com/whiskies/springbank/springbank-10-year-old-whisky/
14,https://www.masterofmalt.com/whiskies/aberlour/aberlour-casg-annamh-whisky/
15,https://www.masterofmalt.com/whiskies/balvenie/balvenie-12-year-old-the-sweet-toast-of-american-oak-whisky/
16,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-15-year-old-revival-whisky/
17,https://www.masterofmalt.com/whiskies/balvenie/balvenie-21-year-old-port-wood-finish-whisky/
18,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-12-year-old-double-cask-whisky/
19,https://www.masterofmalt.com/whiskies/mortlach/mortlach-16-year-old-whisky/
20,https://www.masterofmalt.com/whiskies/glengoyne-21-year-old-whisky/
21,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-21-year-old-parliament-whisky/
22,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-experimental-series-project-xx-whisky/
23,https://www.masterofmalt.com/whiskies/talisker/talisker-18-year-old-whisky/
24,https://www.masterofmalt.com/whiskies/macallan/the-macallan-12-year-old-triple-cask-whisky/
25,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-an-oa-whisky/
26,https://www.masterofmalt.com/whiskies/dalmore-15-year-old-whisky/
27,https://www.masterofmalt.com/whiskies/balvenie/balvenie-14-year-old-the-week-of-peat-whisky/
28,https://www.masterofmalt.com/whiskies/oban-14-year-old-whisky/
29,https://www.masterofmalt.com/whiskies/kilchoman/kilchoman-machir-bay-whisky/
30,https://www.masterofmalt.com/whiskies/glenfarclas-25-year-old-whisky/
31,https://www.masterofmalt.com/whiskies/glengyle/kilkerran-12-year-old-whisky/
32,https://www.masterofmalt.com/whiskies/dalwhinnie-15-year-old-whisky/
33,https://www.masterofmalt.com/whiskies/the-macallan-12-year-old-sherry-oak-whisky/
34,https://www.masterofmalt.com/whiskies/laphroaig-10-year-old-whisky/
35,https://www.masterofmalt.com/whiskies/balvenie/balvenie-doublewood-12-year-old-whisky/
36,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-18-year-old-triple-cask-whisky/
37,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-experimental-series-fire-and-cane-whisky/
38,https://www.masterofmalt.com/whiskies/dalmore/dalmore-12-year-old-whisky/
39,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-12-year-old-whisky/
40,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-the-legacy-series-whisky/
41,https://www.masterofmalt.com/whiskies/bruichladdich/port-charlotte-10-year-old-whisky/
42,https://www.masterofmalt.com/whiskies/tamdhu/tamdhu-10-year-old-whisky/
43,https://www.masterofmalt.com/whiskies/caol-ila-12-year-old-whisky/
44,https://www.masterofmalt.com/whiskies/glenfarclas-105-whisky/
45,https://www.masterofmalt.com/whiskies/ben-nevis/ben-nevis-19-year-old-ancient-mariner-whisky/
46,https://www.masterofmalt.com/whiskies/ben-nevis/ben-nevis-10-year-old-whisky/
47,https://www.masterofmalt.com/whiskies/ancnoc-12-year-old-whisky/
48,https://www.masterofmalt.com/whiskies/bunnahabhain-12-year-old-whisky/
49,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-experimental-series-winter-storm-whisky/
50,https://www.masterofmalt.com/whiskies/kilchoman/kilchoman-machir-bay-gift-pack-with-2x-glasses-whisky/
51,https://www.masterofmalt.com/whiskies/talisker/talisker-2007-bottled-2017-amoroso-cask-finish-distillers-edition-whisky/
52,https://www.masterofmalt.com/whiskies/tobermory/tobermory-12-year-old-whisky/
53,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-21-year-old-reserva-rum-cask-whisky/
54,https://www.masterofmalt.com/whiskies/the-macallan/macallan-1938-bottled-1980s-gordon-and-macphail-whisky/
55,https://www.masterofmalt.com/whiskies/tobermory/ledaig-18-year-old-whisky/
56,https://www.masterofmalt.com/whiskies/smokehead/smokehead-whisky/
57,https://www.masterofmalt.com/whiskies/edradour-10-year-old-with-2-glasses-whisky/
58,https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-lore-whisky/
59,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-12-year-old-whisky/
60,https://www.masterofmalt.com/whiskies/glenkinchie/glenkinchie-12-year-old-whisky/
61,https://www.masterofmalt.com/whiskies/clynelish-14-year-old-whisky/
62,https://www.masterofmalt.com/whiskies/strathisla/strathisla-12-year-old-whisky/
63,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-allta-private-edition-whisky/
64,https://www.masterofmalt.com/whiskies/knockdhu/ancnoc-24-year-old-whisky/
65,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-gold-double-cask-whisky/
66,https://www.masterofmalt.com/whiskies/springbank/springbank-25-year-old-1993-single-cask-master-of-malt-whisky/
67,https://www.masterofmalt.com/whiskies/dailuaine-16-year-old-whisky/
68,https://www.masterofmalt.com/whiskies/glen-scotia/glen-scotia-double-cask-whisky/
69,https://www.masterofmalt.com/whiskies/benriach/benriach-10-year-old-whisky/
70,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-enigma-whisky/
71,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-25-year-old-whisky/
72,https://www.masterofmalt.com/whiskies/scotch-whisky/single-malt-whisky/the-ileach/cask-strength-whisky/
73,https://www.masterofmalt.com/whiskies/longrow-18-year-old-whisky/
74,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-10-year-old-the-original-whisky/
75,https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-scottish-barley-the-classic-laddie-whisky/
76,https://www.masterofmalt.com/whiskies/springbank/hazelburn-10-year-old-whisky/
77,https://www.masterofmalt.com/whiskies/dalmore-king-alexander-iii-whisky/
78,https://www.masterofmalt.com/whiskies/caol-ila-18-year-old-whisky/
79,https://www.masterofmalt.com/whiskies/balvenie/balvenie-17-year-old-doublewood-whisky/
80,https://www.masterofmalt.com/whiskies/springbank/longrow-peated-whisky/
81,https://www.masterofmalt.com/whiskies/clynelish/clynelish-23-year-old-1995-cask-11236-cask-strength-collection-signatory-whisky/
82,https://www.masterofmalt.com/whiskies/tomintoul/tomintoul-tlath-whisky/
83,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-family-cask-trunk-whisky/
84,https://www.masterofmalt.com/whiskies/laphroaig-10-year-old-35cl-whisky/
85,https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-the-1815-legacy-edition-whisky/
86,https://www.masterofmalt.com/whiskies/kilchoman/kilchoman-sanaig-whisky/
87,https://www.masterofmalt.com/whiskies/pulteney/old-pulteney-12-year-old-whisky/
88,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-grand-vintage-malt-1991-bottled-2018-bond-house-no1-whisky/
89,https://www.masterofmalt.com/whiskies/glenfiddich-18-year-old-whisky/
90,https://www.masterofmalt.com/whiskies/balvenie/balvenie-12-year-old-single-barrel-first-fill-whisky/
91,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-experimental-series-ipa-cask-finish-whisky/
92,https://www.masterofmalt.com/whiskies/ledaig-10-year-old-whisky/
93,https://www.masterofmalt.com/whiskies/aultmore/aultmore-12-year-old-whisky/
